0.0000, 0.7200, sil
0.7300, 0.7500, sh
0.7600, 0.7800, iy
0.7900, 0.9100, s
0.9200, 1.0400, ae
1.0500, 1.0700, t
1.0800, 1.1000, ae
1.1100, 1.1400, t
1.1500, 1.2100, dh
1.2200, 1.2600, ah
1.2700, 1.3500, t
1.3600, 1.5000, aa
1.5100, 1.6100, p
1.6200, 1.6400, s
1.6500, 1.7300, t
1.7400, 1.8900, eh
1.9000, 2.0500, r
2.0600, 4.4400, sil
